LOCATIONID,LATITUDE,LONGITUDE,TOWN,DISPLAYNAME,WEEKDAY,HOUR,CONNECTOR_TYPES,MIN_MAXELECTRIC_POWER_W,MAX_MAXELECTRIC_POWER_W,NR_CONNECTORS,TOTAL_DURATION,AVG_DURATION,CHARGING_CAPACITY,CHARGING_CAPACITY_2,CHARGE_PERCENTAGE,parking,charging_station,fast_food,cafe,toilets,restaurant,convenience,playground,park,community_centre,bar,pub,supermarket,sports_centre,hotel,museum,theatre,hospital,library,zoo,cinema,bakery,motorway,trunk,primary,secondary,TOWN_NR,COUNTRY,AVG_ICOME,COST_OF_LIVING,NET_INCOME,CARS_PER_100,EV_RATE,POPULATION,POP_DENSITY,AGE_20,AGE_40,AGE_60,AGE_80,AGE_100,AVG_TRAFFIC_DUR
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,0,23,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO]",50000,300000,12,3734.84,311.2366666666667,37440,720,0.0998,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",445.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,0,1,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,2476.3199999999997,206.36,37440,720,0.0661,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",478.125
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,0,11,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,29797.460000000003,2483.121666666667,37440,720,0.7959,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",489.125
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,6,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO]",50000,300000,12,11020.96,918.4133333333332,37440,720,0.2944,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",521.875
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,17,"[CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,24866.32,2072.1933333333336,37440,720,0.6642,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",528.625
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,4,5,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CHAdeMO,CCS Type 2,CCS Type 2]",50000,300000,12,6695.67,557.9724999999999,37440,720,0.1788,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",459.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,5,13,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,25384.07,2115.339166666666,37440,720,0.678,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",516.125
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,5,17,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,28454.169999999995,2371.1808333333333,37440,720,0.76,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",508.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,0,4,"[CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CHAdeMO,CCS Type 2]",50000,300000,12,2613.0699999999997,217.75583333333333,37440,720,0.0698,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",438.375
18992,52.011913,4.315493,Den Hoorn,Hogenhoorn,1,5,"[CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CCS Type 2,CHAdeMO,CCS Type 2,CCS Type 2,CCS Type 2]",50000,300000,12,6403.460000000001,533.6216666666667,37440,720,0.171,184,32.0,5.0,3.0,2.0,1.0,2.0,35.0,8.0,,,,,,,,,,,,,,7,0,51,92,5,Netherlands,42000,1100,28800,"47,5","5,5",8250,2806,"18,24","39,73","20,36","18,03","3,74",481.625
